id,solver,instance,n_items,n_classes,type,objective,type1_bins,type2_bins,type3_bins,type4_bins,bins_total,time_seconds,average_fill_rate,min_fill_rate,max_fill_rate,time_to_best_seconds,iterations
4,alns_300s,set3_t1_corr/I500_C4_3,500,4,1,12032.57,70,0,41,0,111,300.0,0.5,0.07,0.99,230.28,37447
2,alns_3600s,set3_t1_corr/I500_C4_3,500,4,1,11787.08,70,0,39,0,109,3600.0,0.51,0.13,0.98,1918.26,411712
2,alns_300s,set3_t1_corr/I500_C4_4,500,4,1,10636.04,70,0,28,0,98,300.01,0.62,0.1,0.99,257.25,43128
2,alns_3600s,set3_t1_corr/I500_C4_4,500,4,1,10246.46,70,0,25,0,95,3600.01,0.64,0.09,0.99,1989.67,458945
3,alns_300s,set3_t1_corr/I500_C4_5,500,4,1,11011.9,70,0,34,0,104,300.0,0.55,0.1,0.98,280.09,41036
8,alns_3600s,set3_t1_corr/I500_C4_5,500,4,1,10657.91,70,0,31,0,101,3600.0,0.57,0.11,0.98,2602.25,465871
8,alns_300s,set3_t1_corr/I500_C4_6,500,4,1,14032.62,70,0,58,0,128,300.0,0.4,0.08,0.95,250.99,32109
4,alns_3600s,set3_t1_corr/I500_C4_6,500,4,1,13668.86,70,0,55,0,125,3600.01,0.42,0.04,0.92,1057.82,378745
10,alns_300s,set3_t1_corr/I500_C4_7,500,4,1,13652.33,70,55,1,0,126,300.01,0.42,0.1,0.79,263.53,44591
5,alns_3600s,set3_t1_corr/I500_C4_7,500,4,1,13652.33,70,55,1,0,126,3600.01,0.41,0.12,0.9,1624.37,459922
5,alns_300s,set3_t1_corr/I500_C4_8,500,4,1,12553.08,70,43,0,0,113,300.01,0.5,0.14,0.98,189.32,39805
1,alns_3600s,set3_t1_corr/I500_C4_8,500,4,1,12165.65,70,40,0,0,110,3600.01,0.52,0.17,0.89,2878.63,447390
1,alns_300s,set3_t1_corr/I500_C4_9,500,4,1,10602.52,70,27,0,0,97,300.01,0.6,0.16,0.98,207.03,32213
1,alns_3600s,set3_t1_corr/I500_C4_9,500,4,1,10602.52,70,27,0,0,97,3600.02,0.6,0.16,0.98,210.71,395444
