id,solver,instance,n_items,n_classes,type,objective,type1_bins,type2_bins,type3_bins,type4_bins,bins_total,time_seconds,average_fill_rate,min_fill_rate,max_fill_rate,time_to_best_seconds,iterations
6,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2416,0,2,0,18,20,3600.01,1.0,0.98,1.0,305.46,1003653
7,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2416,0,2,0,18,20,3600.0,1.0,0.99,1.0,22.15,1003793
8,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2426,0,1,1,18,20,3600.01,0.99,0.96,1.0,0.01,1009339
9,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2416,0,2,0,18,20,3600.01,1.0,0.99,1.0,2364.16,1008379
10,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2416,0,2,0,18,20,3600.0,1.0,0.99,1.0,889.41,1002983
1,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2426,0,1,1,18,20,300.0,0.99,0.96,1.0,0.08,161779
2,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2426,0,1,1,18,20,300.0,0.99,0.96,1.0,0.0,199359
3,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2416,0,2,0,18,20,300.0,1.0,0.99,1.0,75.84,209890
4,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2416,0,2,0,18,20,300.0,1.0,0.99,1.0,38.28,227993
5,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2426,0,1,1,18,20,300.0,0.99,0.96,1.0,0.0,238176
6,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2416,0,2,0,18,20,300.0,1.0,0.99,1.0,11.16,245811
