id,solver,instance,n_items,n_classes,type,objective,solver_wall_time,best_bound,opt_gap,termination_reason,columns,iterations,iterations_heuristic,iterations_exact,frac_iter_heuristic,frac_iter_exact,time_master,time_sub,time_sub_heuristic,time_sub_exact,frac_time_master,frac_time_sub,frac_time_sub_heuristic,frac_time_sub_exact
1,colgen,set3_t3_noncorr/I1000_C4_6,1000,4,3,23230.87,10282.54,23230.87,0.0,OPTIMAL,9516,1159,1114,45,0.96,0.04,241.75,10031.93,219.68,9812.25,0.02,0.98,0.02,0.95
1,colgen,set3_t3_noncorr/I1000_C4_7,1000,4,3,24159.47,2191.13,24159.47,0.0,OPTIMAL,8815,1097,1052,45,0.96,0.04,201.06,1982.05,211.89,1770.16,0.09,0.9,0.1,0.81
1,colgen,set3_t3_noncorr/I1000_C4_8,1000,4,3,22799.88,16127.03,22799.88,0.0,OPTIMAL,9894,1285,1234,51,0.96,0.04,278.81,15838.58,278.92,15559.66,0.02,0.98,0.02,0.96
1,colgen,set3_t3_noncorr/I1000_C4_9,1000,4,3,24109.98,1979.93,24109.98,0.0,OPTIMAL,8773,1129,1088,41,0.96,0.04,203.17,1769.36,248.24,1521.12,0.1,0.89,0.13,0.77
1,colgen,set3_t3_corr/I1000_C5_1,1000,5,3,21945.28,89354.07,21862.31,0.0,TIMELIMIT,11355,1124,1080,44,0.96,0.04,359.22,88983.61,323.91,88659.69,0.0,1.0,0.0,0.99
1,colgen,set3_t3_corr/I1000_C5_10,1000,5,3,19552.08,158401.05,0.0,1.0,TIMELIMIT,11522,917,915,2,1.0,0.0,510.79,157879.37,211.76,157667.62,0.0,1.0,0.0,1.0
1,colgen,set3_t3_corr/I1000_C5_2,1000,5,3,24989.68,2331.05,24989.68,0.0,OPTIMAL,9242,1406,1329,77,0.95,0.05,231.77,2091.02,315.02,1776.0,0.1,0.9,0.14,0.76
1,colgen,set3_t3_corr/I1000_C5_3,1000,5,3,33877.6,1068.06,33877.6,0.0,OPTIMAL,6955,697,626,71,0.9,0.1,55.15,1006.53,174.21,832.32,0.05,0.94,0.16,0.78
1,colgen,set3_t3_corr/I1000_C5_4,1000,5,3,24884.12,3024.19,24884.12,0.0,OPTIMAL,10018,1528,1443,85,0.94,0.06,255.55,2758.49,302.6,2455.89,0.08,0.91,0.1,0.81
1,colgen,set3_t3_corr/I1000_C5_5,1000,5,3,21229.58,89027.51,21229.58,0.0,OPTIMAL,11212,1098,1059,39,0.96,0.04,393.19,88623.51,290.28,88333.23,0.0,1.0,0.0,0.99
1,colgen,set3_t3_corr/I1000_C5_6,1000,5,3,30564.68,350.26,30564.68,0.0,OPTIMAL,6849,731,716,15,0.98,0.02,73.31,271.31,106.18,165.12,0.21,0.77,0.3,0.47
1,colgen,set3_t3_corr/I1000_C5_7,1000,5,3,28002.16,876.58,28002.16,0.0,OPTIMAL,8720,966,938,28,0.97,0.03,118.05,750.89,163.8,587.09,0.13,0.86,0.19,0.67
1,colgen,set3_t3_corr/I1000_C5_8,1000,5,3,29316.58,441.25,29316.58,0.0,OPTIMAL,7501,798,778,20,0.97,0.03,91.18,343.85,113.75,230.1,0.21,0.78,0.26,0.52
1,colgen,set3_t3_corr/I1000_C5_9,1000,5,3,35279.99,1062.53,35279.99,0.0,OPTIMAL,6738,654,581,73,0.89,0.11,46.18,1010.41,184.8,825.61,0.04,0.95,0.17,0.78
1,colgen,set3_t3_noncorr/I1000_C5_1,1000,5,3,24880.15,3960.17,24880.15,0.0,OPTIMAL,9972,1364,1294,70,0.95,0.05,260.75,3690.1,229.19,3460.91,0.07,0.93,0.06,0.87
1,colgen,set3_t3_noncorr/I1000_C5_10,1000,5,3,22424.11,90954.55,22356.65,0.0,TIMELIMIT,11355,1361,1333,28,0.98,0.02,355.9,90587.88,334.67,90253.2,0.0,1.0,0.0,0.99
1,colgen,set3_t3_noncorr/I1000_C5_2,1000,5,3,33168.87,156.84,33168.87,0.0,OPTIMAL,5703,345,340,5,0.99,0.01,43.37,108.98,52.35,56.63,0.28,0.69,0.33,0.36
1,colgen,set3_t3_noncorr/I1000_C5_3,1000,5,3,25435.83,1402.26,25435.83,0.0,OPTIMAL,8945,1023,984,39,0.96,0.04,189.2,1204.39,247.51,956.88,0.13,0.86,0.18,0.68
1,colgen,set3_t3_noncorr/I1000_C5_4,1000,5,3,33300.92,140.21,33300.92,0.0,OPTIMAL,5737,347,344,3,0.99,0.01,47.67,88.23,53.55,34.68,0.34,0.63,0.38,0.25
1,colgen,set3_t3_noncorr/I1000_C5_5,1000,5,3,32486.77,136.11,32486.77,0.0,OPTIMAL,5373,304,301,3,0.99,0.01,44.07,87.85,49.03,38.82,0.32,0.65,0.36,0.29
1,colgen,set3_t3_noncorr/I1000_C5_6,1000,5,3,25082.59,10978.21,25082.59,0.0,OPTIMAL,9886,1270,1217,53,0.96,0.04,244.69,10723.93,232.84,10491.09,0.02,0.98,0.02,0.96
1,colgen,set3_t3_noncorr/I1000_C5_7,1000,5,3,24662.92,3433.18,24662.92,0.0,OPTIMAL,9723,1396,1325,71,0.95,0.05,235.53,3188.52,304.73,2883.79,0.07,0.93,0.09,0.84
1,colgen,set3_t3_noncorr/I1000_C5_8,1000,5,3,23977.19,38022.08,23977.19,0.0,OPTIMAL,11590,1745,1622,123,0.93,0.07,308.1,37701.93,338.92,37363.01,0.01,0.99,0.01,0.98
1,colgen,set3_t3_noncorr/I1000_C5_9,1000,5,3,24880.11,3608.67,24880.11,0.0,OPTIMAL,9506,1445,1364,81,0.94,0.06,241.4,3358.49,345.34,3013.15,0.07,0.93,0.1,0.83
